StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_10_TEXT,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_12_TEXT,Q4_1,Q4_2,Q4_3,Q4_4,Q24,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_6_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_8_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_11_TEXT,Q16,Q17_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_13_TEXT,Q23,Q22
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your primary role? - Selected Choice - Academic,What is your primary role? - Selected Choice - Community Organization,What is your primary role? - Selected Choice - Consultant,What is your primary role? - Selected Choice - Government,What is your primary role? - Selected Choice - Grassroots Organization,What is your primary role? - Selected Choice - Industry,What is your primary role? - Selected Choice - Non-Profit,What is your primary role? - Selected Choice - Student,What is your primary role? - Selected Choice - Tribal/Indigenous Community,What is your primary role? - Selected Choice - Other (please specify),What is your primary role? - Other (please specify) - Text,How many years have you been involved in community-based science?,What sectors have you worked in? (Select all that apply) - Selected Choice - Environmental conservation/restoration,What sectors have you worked in? (Select all that apply) - Selected Choice - Public health,What sectors have you worked in? (Select all that apply) - Selected Choice - Climate change/adaptation,What sectors have you worked in? (Select all that apply) - Selected Choice - Social/environmental justice,What sectors have you worked in? (Select all that apply) - Selected Choice - Education,What sectors have you worked in? (Select all that apply) - Selected Choice - Agriculture/food systems,What sectors have you worked in? (Select all that apply) - Selected Choice - Water quality/management,What sectors have you worked in? (Select all that apply) - Selected Choice - Air quality,What sectors have you worked in? (Select all that apply) - Selected Choice - Biodiversity/wildlife,What sectors have you worked in? (Select all that apply) - Selected Choice - Urban planning,What sectors have you worked in? (Select all that apply) - Selected Choice - Disaster preparedness/response,What sectors have you worked in? (Select all that apply) - Selected Choice - Other (please specify,What sectors have you worked in? (Select all that apply) - Other (please specify - Text,What is the geographic scope of your work? (select all that apply) - Local,What is the geographic scope of your work? (select all that apply) - Regional,What is the geographic scope of your work? (select all that apply) - National,What is the geographic scope of your work? (select all that apply) - International,"If willing/applicable, can you share the primary locations/regions of any current or past community-based work?",How do you define success in a community-based project?,"Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Research directly influences policy or management decisions","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Results lead to measurable environmental improvements","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community capacity for data skills increases","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Trust is built between communities and institutions","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Project secures sustained funding","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Findings are accessible and usable by non-scientists","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing a peer-reviewed article","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing a detailed report","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing for a public audience (e.g., blog post, website)","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Communicating interim findings during the project (not just final publications)","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Active collaboration with community members throughout the project lifecycle","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Traditional/local knowledge is integrated with scientific data","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community maintains ownership of data and findings","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Collaborations continue beyond initial project","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Partnerships are equitable, collaborative, empowering, and address social inequalities","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - The community has meaningful say and control over the research process","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community members are compensated for their time and effort","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - There is clear communication on how data and outcomes will be used","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community members' viewpoints and perspectives are integrated into the project","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Research directly influences policy or management decisions","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Results lead to measurable environmental improvements","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Community capacity for data skills increases","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Trust is built between communities and institutions","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Project secures sustained funding","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Findings are accessible and usable by non-scientists","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Publishing a peer-reviewed article","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Publishing a detailed report","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Publishing for a public audience (e.g., blog post, website)","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Communicating interim findings during the project (not just final publications)","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Active collaboration with community members throughout the project lifecycle","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Traditional/local knowledge is integrated with scientific data","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Community maintains ownership of data and findings","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Collaborations continue beyond initial project","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Partnerships are equitable, collaborative, empowering, and address social inequalities","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - The community has meaningful say and control over the research process","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Community members are compensated for their time and effort","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - There is clear communication on how data and outcomes will be used","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects. - Community members' viewpoints and perspectives are integrated into the project","Are there any priorities or goals not defined above that you find important in defining success? If so, please describe.","If you could track ONE metric of success in community-based science, what would it be?","How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - Regular scheduled meetings (weekly, monthly, etc.)",How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - Email updates and correspondence,"How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - Informal/flexible check-ins (calls, messages as needed)","How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - Collaborative platforms (Slack, Teams, shared documents)",How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - In-person meetings or site visits,How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice - Other (please specify),How do you prefer to be approached and communicated with during collaborative projects? - Other (please specify) - Text,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Online portals/dashboards,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Email updates,"How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Shared cloud storage (Google Drive, Dropbox, etc.)","How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Data repositories (e.g., GitHub, institutional repositories)",How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Regular meetings/presentations,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Written reports,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Interactive workshops,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice - Other (please specify),How do you prefer to access data and information in collaborative projects? (Select all that apply) - Other (please specify) - Text,What does a feasible/realistic timeline look like for community-based projects you're involved in?,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Community members/residents,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Academic researchers,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Government agencies (local),What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Government agencies (state/federal),What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Non-profit organizations,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Tribal/Indigenous communities,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - K-12 educators,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Private sector/industry,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Consultants,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Media/journalists,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice - Other (please specify),What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Other (please specify) - Text,"How do you define ""actionable outcomes"" in your field of work?","In your most recent community-based project, how actionable would you say the outcomes were? - 0 = Not Actionable, 5 = Extremely Actionable","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Insufficient funding","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Poor communication between stakeholders","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Lack of trust among partners","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Insufficient community buy-in","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Data quality or availability issues","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Misaligned timelines between stakeholders","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Unclear or misaligned goals","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Power imbalances between stakeholders","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Policy or legal limitations","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Lack of technical capacity","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Insufficient time","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Competing priorities","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice - Other (please specify)","In your opinion/experience, what are the primary barriers to actionable outcomes? - Other (please specify) - Text","Case Studies
If willing, can you briefly describe any successful (or unsuccessful) examples of community-based science from your experience?",Is there anything you think is missing from this survey that we should incorporate?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1"",""choiceId"":""1""}","{""ImportId"":""QID1"",""choiceId"":""2""}","{""ImportId"":""QID1"",""choiceId"":""3""}","{""ImportId"":""QID1"",""choiceId"":""4""}","{""ImportId"":""QID1"",""choiceId"":""5""}","{""ImportId"":""QID1"",""choiceId"":""6""}","{""ImportId"":""QID1"",""choiceId"":""7""}","{""ImportId"":""QID1"",""choiceId"":""8""}","{""ImportId"":""QID1"",""choiceId"":""9""}","{""ImportId"":""QID1"",""choiceId"":""10""}","{""ImportId"":""QID1_10_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3"",""choiceId"":""1""}","{""ImportId"":""QID3"",""choiceId"":""2""}","{""ImportId"":""QID3"",""choiceId"":""3""}","{""ImportId"":""QID3"",""choiceId"":""4""}","{""ImportId"":""QID3"",""choiceId"":""5""}","{""ImportId"":""QID3"",""choiceId"":""6""}","{""ImportId"":""QID3"",""choiceId"":""7""}","{""ImportId"":""QID3"",""choiceId"":""8""}","{""ImportId"":""QID3"",""choiceId"":""9""}","{""ImportId"":""QID3"",""choiceId"":""10""}","{""ImportId"":""QID3"",""choiceId"":""11""}","{""ImportId"":""QID3"",""choiceId"":""12""}","{""ImportId"":""QID3_12_TEXT""}","{""ImportId"":""QID4"",""choiceId"":""1""}","{""ImportId"":""QID4"",""choiceId"":""2""}","{""ImportId"":""QID4"",""choiceId"":""3""}","{""ImportId"":""QID4"",""choiceId"":""4""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_16""}","{""ImportId"":""QID6_17""}","{""ImportId"":""QID6_18""}","{""ImportId"":""QID6_19""}","{""ImportId"":""QID8"",""choiceId"":""1""}","{""ImportId"":""QID8"",""choiceId"":""2""}","{""ImportId"":""QID8"",""choiceId"":""3""}","{""ImportId"":""QID8"",""choiceId"":""4""}","{""ImportId"":""QID8"",""choiceId"":""5""}","{""ImportId"":""QID8"",""choiceId"":""6""}","{""ImportId"":""QID8"",""choiceId"":""7""}","{""ImportId"":""QID8"",""choiceId"":""8""}","{""ImportId"":""QID8"",""choiceId"":""9""}","{""ImportId"":""QID8"",""choiceId"":""10""}","{""ImportId"":""QID8"",""choiceId"":""11""}","{""ImportId"":""QID8"",""choiceId"":""12""}","{""ImportId"":""QID8"",""choiceId"":""13""}","{""ImportId"":""QID8"",""choiceId"":""14""}","{""ImportId"":""QID8"",""choiceId"":""15""}","{""ImportId"":""QID8"",""choiceId"":""16""}","{""ImportId"":""QID8"",""choiceId"":""17""}","{""ImportId"":""QID8"",""choiceId"":""18""}","{""ImportId"":""QID8"",""choiceId"":""19""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""2""}","{""ImportId"":""QID11"",""choiceId"":""3""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID12"",""choiceId"":""1""}","{""ImportId"":""QID12"",""choiceId"":""2""}","{""ImportId"":""QID12"",""choiceId"":""3""}","{""ImportId"":""QID12"",""choiceId"":""4""}","{""ImportId"":""QID12"",""choiceId"":""5""}","{""ImportId"":""QID12"",""choiceId"":""6""}","{""ImportId"":""QID12"",""choiceId"":""7""}","{""ImportId"":""QID12"",""choiceId"":""8""}","{""ImportId"":""QID12_8_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14"",""choiceId"":""1""}","{""ImportId"":""QID14"",""choiceId"":""2""}","{""ImportId"":""QID14"",""choiceId"":""3""}","{""ImportId"":""QID14"",""choiceId"":""4""}","{""ImportId"":""QID14"",""choiceId"":""5""}","{""ImportId"":""QID14"",""choiceId"":""6""}","{""ImportId"":""QID14"",""choiceId"":""7""}","{""ImportId"":""QID14"",""choiceId"":""8""}","{""ImportId"":""QID14"",""choiceId"":""9""}","{""ImportId"":""QID14"",""choiceId"":""10""}","{""ImportId"":""QID14"",""choiceId"":""11""}","{""ImportId"":""QID14_11_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID21"",""choiceId"":""1""}","{""ImportId"":""QID21"",""choiceId"":""2""}","{""ImportId"":""QID21"",""choiceId"":""3""}","{""ImportId"":""QID21"",""choiceId"":""4""}","{""ImportId"":""QID21"",""choiceId"":""5""}","{""ImportId"":""QID21"",""choiceId"":""6""}","{""ImportId"":""QID21"",""choiceId"":""7""}","{""ImportId"":""QID21"",""choiceId"":""8""}","{""ImportId"":""QID21"",""choiceId"":""9""}","{""ImportId"":""QID21"",""choiceId"":""10""}","{""ImportId"":""QID21"",""choiceId"":""11""}","{""ImportId"":""QID21"",""choiceId"":""12""}","{""ImportId"":""QID21"",""choiceId"":""13""}","{""ImportId"":""QID21_13_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID22_TEXT""}"
2026-01-27 16:57:33,2026-01-27 16:58:45,Survey Preview,100,72,True,2026-01-27 16:58:46,R_1GD0gGlF8vvIX3I,preview,EN,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all important,,Extremely important,Extremely important,Extremely important,Very important,Extremely important,,Extremely important,,Slightly important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 10:12:34,2026-01-28 10:17:53,IP Address,100,319,True,2026-01-28 10:17:54,R_7QEmLX2x5BWHadz,anonymous,EN,Academic,,,,,,,Student,,,,8-15 year,Environmental conservation/restoration,,,,,,Water quality/management,,,,,,,,,,International,,,Not at all important,Very important,Slightly important,Very important,Slightly important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 10:13:54,2026-01-28 11:51:00,IP Address,100,5825,True,2026-01-28 11:51:00,R_3uDJYnwbrMn6EG0,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 11:52:57,2026-01-28 12:02:58,IP Address,100,601,True,2026-01-28 12:02:59,R_60DzU5xpATt7a8t,anonymous,EN,,,,Government,,,,,,,,4-7 years,Environmental conservation/restoration,Public health,,,Education,,Water quality/management,,,,,,,Local,,,,,"Community participants feel respected, valued, and heard. 
Data are high quality.
The project is useful and results will benefit the community.
Results are communicated often and widely, in ways that everyone can access.
",Very important,Very important,Not at all important,Extremely important,Slightly important,Extremely important,Slightly important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Slightly important,Not at all important,Extremely important,Very important,Slightly important,Very important,Extremely important,,,,Trust is built between communities and institutions,,Findings are accessible and usable by non-scientists,,,,,,,,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,,,Email updates and correspondence,,,,,,Online portals/dashboards,,,,,Written reports,Interactive workshops,,,It varies by project,Community members/residents,,Government agencies (local),,,,K-12 educators,,,,,,,1,,,,,,,Unclear or misaligned goals,,,Lack of technical capacity,Insufficient time,Competing priorities,,,,
2026-01-28 11:53:14,2026-01-28 12:05:56,IP Address,100,762,True,2026-01-28 12:05:57,R_7iuIOwlBNzzfH7r,anonymous,EN,Academic,,,,,,,Student,,,,8-15 year,Environmental conservation/restoration,,,,Education,Agriculture/food systems,Water quality/management,,Biodiversity/wildlife,,,,,,,,International,"Costa Rica, Peru, Brazil","Generate answers to the problem statement of the project. Communicate the results back to the data providers and all relevant stakeholders. ",Extremely important,Very important,Slightly important,Very important,Moderately important,Extremely important,Slightly important,Moderately important,Moderately important,Slightly important,Extremely important,Slightly important,Moderately important,Slightly important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Research directly influences policy or management decisions,,,,,Findings are accessible and usable by non-scientists,,,,,,,,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,"How research affects decision-making and perspectives. ",,,,,In-person meetings or site visits,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,,Written reports,,,,1-2 years,Community members/residents,Academic researchers,,,Non-profit organizations,,,Private sector/industry,,,,,"The information can be directly used to inform action. ",4,,Poor communication between stakeholders,,Insufficient community buy-in,,Misaligned timelines between stakeholders,Unclear or misaligned goals,,Policy or legal limitations,,Insufficient time,,,,"I worked with an NGO in Brazil.  I asked them what their needs are / what would be helpful. They didn't know what was feasible, so I did a site visit to understand their values/goals and also got access to their internal data platform. Based on that, I developed 5 brief project ideas and shared them on a GoogleDoc. Then we met via Zoom, and their staff said that one of the ideas would clearly be the most helpful, so I focused on that. It was to use ecosystem service analysis tools to prioritize riparian reforestation areas based on where they would have the most ecosystem service benefits (carbon sequestration and water quality). They are already using it to prioritize reforestation planting areas. ",
2026-01-28 11:50:11,2026-01-28 12:10:32,IP Address,100,1221,True,2026-01-28 12:10:33,R_1udaOek12gaQ3qV,anonymous,EN,Academic,,,,,,,Student,,,,1-3 years,Environmental conservation/restoration,,Climate change/adaptation,,,,,,,,,,,Local,Regional,,,"Oahu, Hawaii and California (state-wide) ","Accomplishing a goal that leads to outcomes that benefit the parties involved ",Extremely important,Very important,Moderately important,Very important,Moderately important,Moderately important,Extremely important,Moderately important,Very important,Slightly important,Very important,Very important,Moderately important,Very important,Extremely important,Moderately important,Moderately important,Very important,Very important,Research directly influences policy or management decisions,,,,,,Publishing a peer-reviewed article,,,,,,,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,Attainable and quantifiable results that influence policy or management decisions that leads to a problem being improved on or fixed that is affecting the community of interest,"Regular scheduled meetings (weekly, monthly, etc.)",,,,,,,Online portals/dashboards,Email updates,,"Data repositories (e.g., GitHub, institutional repositories)",Regular meetings/presentations,,,,,2-3 years,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),Non-profit organizations,Tribal/Indigenous communities,,,,,,,"Results that can be used to inform policy and management decisions. ",4,Insufficient funding,,Lack of trust among partners,Insufficient community buy-in,,,,,,,,,,,,
